target,feature,feature_q3_value,point,resid_sd,n_fit,low,high,naive_last,prior_year,adr_exfx_runrate,fx_contribution,adr_yoy,gbv_yoy,rev_yoy,rev_minus_gbv_gap_ttm
nights_yoy,demand_eq,-0.3253400748389208,11.844235557823755,2.7931132099103553,14.0,9.051122347913399,14.63734876773411,10.342,8.795,,,,,,
nights_yoy,demand_noia_eq,-0.4822674377539806,9.95116424305919,2.8201836194687377,14.0,7.130980623590451,12.771347862527927,10.342,8.795,,,,,,
nights_yoy,demand_p22_eq,-0.3574740884929816,10.008198446101842,1.5337992500524007,11.0,8.474399196049442,11.541997696154242,10.342,8.795,,,,,,
gbv_yoy,demand_eq,-0.3253400748389208,15.009546427097765,3.422683796939881,14.0,11.586862630157885,18.432230224037646,15.745,13.93,,,,,,
rev_yoy,demand_eq,-0.3253400748389208,16.56461362385553,3.833963552064748,14.0,12.73065007179078,20.398577175920277,16.537,9.727,,,,,,
emea_nights_band,eu_platform_yoy_lag1,,,,8.0,,,8.0,5.0,,,,,,
nights_yoy,eu_platform_yoy_lag1,,,,14.0,,,10.342,8.795,,,,,,
rev_yoy,bl_funds_yoy_lag1,10.455,11.948938405493436,2.017098923046793,14.0,9.931839482446643,13.96603732854023,16.537,9.727,,,,,,
gbv_yoy,bl_funds_yoy_lag1,10.455,12.638276004170521,3.025704406749411,14.0,9.612571597421109,15.663980410919933,15.745,13.93,,,,,,
adr_fx_effect,px_fx_contribution_fitted,0.8011485164484586,0.9575590766545801,0.7102495779095451,14.0,0.24730949874503494,1.667808654564125,1.3,2.7,,,,,,
adr_yoy,mx_usd_yoy,-0.38654575326364515,3.1238998058293754,1.0618250088407801,14.0,2.062074796988595,4.185724814670156,5.301,4.675,,,,,,
adr_exfx_yoy,mx_claims_yoy,-10.415263748597091,4.072782825326286,0.7548301714844815,14.0,3.3179526538418043,4.8276129968107675,4.0,2.0,,,,,,
adr_yoy,price_eq,-0.19223370233970752,4.034198842244965,1.8931672890982862,14.0,2.141031553146679,5.927366131343252,5.301,4.675,,,,,,
nights_yoy,tr_us_share_yoy_pts,-0.684262826237314,10.4984390666369,3.0091156911119032,14.0,7.489323375524997,13.507554757748803,10.342,8.795,,,,,,
nights_yoy,tr_ww_airbnb_yoy,-6.794642857142863,8.396034534743787,2.791102022436163,14.0,5.604932512307624,11.18713655717995,10.342,8.795,,,,,,
na_nights_band,tr_us_airbnb_yoy,-1.5375854214122908,5.9241458802751,1.759647585318163,7.0,4.164498294956937,7.683793465593263,8.0,5.0,,,,,,
assembly,nights = naive last (2Q26),,10.342,,,,,,,3.25,0.8011485164484586,4.051148516448459,14.81211829601956,12.65761829601956,-2.1545
assembly,nights = demand index ex-IA (post-22 fit),,9.95116424305919,,,,,,,3.25,0.8011485164484586,4.051148516448459,14.405449202109688,12.250949202109688,-2.1545
assembly,"nights = guide (low double digit, 11)",,11.0,,,,,,,3.25,0.8011485164484586,4.051148516448459,15.4967748532578,13.3422748532578,-2.1545
