value_status,missing_reason,guidance_item_id,guidance_event_id,target_period,metric_code,measure_type,value_low,value_high,value_mid,unit,currency,accounting_basis,is_company_stated,derivation_formula,comparator_period,source_excerpt_id,extraction_confidence
observed,,ABNB-2020Q4-NEXTQ-REVENUE-GUIDE,ABNB-2020Q4-INITIAL,2021Q1,revenue,qualitative,,,,narrative,,GAAP,True,,,ABNB-2020Q4-NEXTQ-REVENUE-GUIDE-EXCERPT,high
observed,,ABNB-2021Q1-NEXTQ-REVENUE-GUIDE,ABNB-2021Q1-INITIAL,2021Q2,revenue,qualitative,,,,narrative,,GAAP,True,,,ABNB-2021Q1-NEXTQ-REVENUE-GUIDE-EXCERPT,high
observed,,ABNB-2021Q2-NEXTQ-REVENUE-GUIDE,ABNB-2021Q2-INITIAL,2021Q3,revenue,qualitative,,,,narrative,,GAAP,True,,,ABNB-2021Q2-NEXTQ-REVENUE-GUIDE-EXCERPT,high
observed,,ABNB-2021Q3-NEXTQ-REVENUE-GUIDE,ABNB-2021Q3-INITIAL,2021Q4,revenue,absolute_range,1390.0,1480.0,1435.0,USD_millions,USD,GAAP,True,,,ABNB-2021Q3-NEXTQ-REVENUE-GUIDE-EXCERPT,high
observed,,ABNB-2021Q4-NEXTQ-REVENUE-GUIDE,ABNB-2021Q4-INITIAL,2022Q1,revenue,absolute_range,1410.0,1480.0,1445.0,USD_millions,USD,GAAP,True,,,ABNB-2021Q4-NEXTQ-REVENUE-GUIDE-EXCERPT,high
observed,,ABNB-2022Q1-NEXTQ-REVENUE-GUIDE,ABNB-2022Q1-INITIAL,2022Q2,revenue,absolute_range,2030.0,2130.0,2080.0,USD_millions,USD,GAAP,True,,,ABNB-2022Q1-NEXTQ-REVENUE-GUIDE-EXCERPT,high
observed,,ABNB-2022Q2-NEXTQ-REVENUE-GUIDE,ABNB-2022Q2-INITIAL,2022Q3,revenue,absolute_range,2780.0,2880.0,2830.0,USD_millions,USD,GAAP,True,,,ABNB-2022Q2-NEXTQ-REVENUE-GUIDE-EXCERPT,high
observed,,ABNB-2022Q3-NEXTQ-REVENUE-GUIDE,ABNB-2022Q3-INITIAL,2022Q4,revenue,absolute_range,1800.0,1880.0,1840.0,USD_millions,USD,GAAP,True,,,ABNB-2022Q3-NEXTQ-REVENUE-GUIDE-EXCERPT,high
observed,,ABNB-2022Q4-NEXTQ-REVENUE-GUIDE,ABNB-2022Q4-INITIAL,2023Q1,revenue,absolute_range,1750.0,1820.0,1785.0,USD_millions,USD,GAAP,True,,,ABNB-2022Q4-NEXTQ-REVENUE-GUIDE-EXCERPT,high
observed,,ABNB-2023Q1-NEXTQ-REVENUE-GUIDE,ABNB-2023Q1-INITIAL,2023Q2,revenue,absolute_range,2350.0,2450.0,2400.0,USD_millions,USD,GAAP,True,,,ABNB-2023Q1-NEXTQ-REVENUE-GUIDE-EXCERPT,high
observed,,ABNB-2023Q2-NEXTQ-REVENUE-GUIDE,ABNB-2023Q2-INITIAL,2023Q3,revenue,absolute_range,3300.0,3400.0,3350.0,USD_millions,USD,GAAP,True,,,ABNB-2023Q2-NEXTQ-REVENUE-GUIDE-EXCERPT,high
